	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	heme_regulatory_motif_count
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_2322	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	2322	2612289	2613578	1	C	K09808	lipoprotein-releasing system permease protein								MacB-like periplasmic core domain [PF12704.10]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_2323	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	2323	2613597	2614304	1	C	K02003	putative ABC transport system ATP-binding protein								ABC transporter [PF00005.30]; RecF/RecN/SMC N terminal domain [PF02463.22]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_2324	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	2324	2614396	2616819	1	C	K07277	outer membrane protein insertion porin family								Omp85 superfamily domain [PF01103.26]; Surface antigen variable number repeat [PF07244.18]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_2325	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	2325	2616867	2617430	1	C	K06142	outer membrane protein								Outer membrane protein (OmpH-like) [PF03938.17]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_2326	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	2326	2617438	2618451	1	C	K02536	UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase [EC:2.3.1.191]								UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase, LpxD [PF04613.17]; Hexapeptide repeat of succinyl-transferase [PF14602.9]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_2327	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	2327	2618473	2618940	1	C	K02372	3-hydroxyacyl-[acyl-carrier-protein] dehydratase [EC:4.2.1.59]								FabA-like domain [PF07977.16]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_2328	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	2328	2618947	2619780	1	C	K00677	UDP-N-acetylglucosamine acyltransferase [EC:2.3.1.129]								Udp N-acetylglucosamine O-acyltransferase; Domain 2 [PF13720.9]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_2329	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	2329	2619784	2621013	1	C	K00748	lipid-A-disaccharide synthase [EC:2.4.1.182]								Lipid-A-disaccharide synthetase [PF02684.18]	GT19	GT19 lipid-A-disaccharide synthase (EC 2.4.1.182).	2.4.1.182	GT19.hmm	0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_2330	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	2330	2621010	2622740	1	D										ABC transporter [PF00005.30]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_2331	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	2331	2622741	2623961	1	C	K00912	tetraacyldisaccharide 4'-kinase [EC:2.7.1.130]								Tetraacyldisaccharide-1-P 4'-kinase [PF02606.17]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_2332	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	2332	2623999	2624454	1	C	K08311	putative (di)nucleoside polyphosphate hydrolase [EC:3.6.1.-]								NUDIX domain [PF00293.31]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_2333	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	2333	2624444	2626012	-1	C	K03406	methyl-accepting chemotaxis protein	MER0500533	M23B	MER0500533 - subfamily M23B unassigned peptidases (Campylobacter coli) [M23.UPB]#M23B#{peptidase unit: 296-493}~source YP_008473886~	False	0.439	67.0	4.596e-10	Methyl-accepting chemotaxis protein (MCP) signalling domain [PF00015.24]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_2334	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	2334	2626154	2626768	-1	D										NUDIX domain [PF00293.31]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_2335	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	2335	2626768	2628006	-1	D										Mitochondrial small ribosomal subunit Rsm22 [PF09243.13]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_2336	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	2336	2628014	2629030	-1	C	K07082	UPF0755 protein								YceG-like family [PF02618.19]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_2337	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	2337	2629032	2630477	-1	D			MER1010453	S12	MER1010453 - family S12 unassigned peptidases () [S12.UPW]#S12#{peptidase unit: 13-336}~source U2EEZ4~	False	0.315	64.0	3.702e-09						0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_2338	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	2338	2630494	2631447	1	C	K00767	nicotinate-nucleotide pyrophosphorylase (carboxylating) [EC:2.4.2.19]								Quinolinate phosphoribosyl transferase, C-terminal domain [PF01729.22]; Quinolinate phosphoribosyl transferase, N-terminal domain [PF02749.19]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_2339	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	2339	2631465	2634545	1	C	K03525	type III pantothenate kinase [EC:2.7.1.33]								RNA pseudouridylate synthase [PF00849.25]; Type III pantothenate kinase [PF03309.17]; Biotin/lipoate A/B protein ligase family [PF03099.22]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_2340	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	2340	2634535	2635686	1	C	K01760	cysteine-S-conjugate beta-lyase [EC:4.4.1.13]								Cys/Met metabolism PLP-dependent enzyme [PF01053.23]; Aminotransferase class I and II [PF00155.24]; Aminotransferase class-V [PF00266.22]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_2341	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	2341	2635740	2635913	1	E															0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_2342	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	2342	2635926	2637548	-1	C	K00343	NADH-quinone oxidoreductase subunit N [EC:7.1.1.2]								Proton-conducting membrane transporter [PF00361.23]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_2343	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	2343	2637548	2639146	-1	D										Proton-conducting membrane transporter [PF00361.23]; NADH-ubiquinone oxidoreductase chain 4, amino terminus [PF01059.20]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_2344	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	2344	2639164	2641119	-1	C	K00341	NADH-quinone oxidoreductase subunit L [EC:7.1.1.2]								Proton-conducting membrane transporter [PF00361.23]; NADH dehydrogenase subunit 5 C-terminus [PF06455.14]; NADH-dehyrogenase subunit F, TMs, (complex I) C-terminus [PF01010.22]; NADH-Ubiquinone oxidoreductase (complex I), chain 5 N-terminus [PF00662.23]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_2345	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	2345	2641122	2641427	-1	C	K00340	NADH-quinone oxidoreductase subunit K [EC:7.1.1.2]								NADH-ubiquinone/plastoquinone oxidoreductase chain 4L [PF00420.27]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_2346	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	2346	2641411	2641965	-1	C	K00339	NADH-quinone oxidoreductase subunit J [EC:7.1.1.2]								NADH-ubiquinone/plastoquinone oxidoreductase chain 6 [PF00499.23]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_2347	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	2347	2641984	2643093	-1	D										NADH dehydrogenase [PF00146.24]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_2348	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	2348	2643107	2643487	-1	C	K00330	NADH-quinone oxidoreductase subunit A [EC:7.1.1.2]								NADH-ubiquinone/plastoquinone oxidoreductase, chain 3 [PF00507.22]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_2349	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	2349	2643549	2644631	-1	C	K01479	formiminoglutamase [EC:3.5.3.8]								Arginase family [PF00491.24]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_2350	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	2350	2644843	2645679	-1	C	K13236	2,4-dienoyl-CoA reductase [(3E)-enoyl-CoA-producing], mitochondrial [EC:1.3.1.124]								Enoyl-(Acyl carrier protein) reductase [PF13561.9]; short chain dehydrogenase [PF00106.28]; KR domain [PF08659.13]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_2351	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	2351	2645680	2646252	-1	E															0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_2352	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	2352	2646587	2646994	-1	C	K02884	large subunit ribosomal protein L19								Ribosomal protein L19 [PF01245.23]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_2353	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	2353	2647163	2647522	-1	C	K02887	large subunit ribosomal protein L20								Ribosomal protein L20 [PF00453.21]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_2354	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	2354	2647651	2647908	-1	C	K02916	large subunit ribosomal protein L35								Ribosomal protein L35 [PF01632.22]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_2355	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	2355	2650818	2651396	1	E															0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_2356	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	2356	2653866	2655404	1	C	K00088	IMP dehydrogenase [EC:1.1.1.205]								IMP dehydrogenase / GMP reductase domain [PF00478.28]; CBS domain [PF00571.31]; FMN-dependent dehydrogenase [PF01070.21]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_2357	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	2357	2655453	2657021	1	C	K01951	GMP synthase (glutamine-hydrolysing) [EC:6.3.5.2]	MER0441497	C26	MER0441497 - GMP synthase (Caldithrix abyssi) [C26.957]#C26#{peptidase unit: 14-238}~source ZP_09548743~	False	0.449	193.0	2.904e-50	GMP synthase C terminal domain [PF00958.25]; Glutamine amidotransferase class-I [PF00117.31]; NAD synthase [PF02540.20]; Peptidase C26 [PF07722.16]; Queuosine biosynthesis protein QueC [PF06508.16]; Thiamine biosynthesis protein (ThiI) [PF02568.17]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_2358	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	2358	2657043	2657873	1	C	K06223	DNA adenine methylase [EC:2.1.1.72]								D12 class N6 adenine-specific DNA methyltransferase [PF02086.18]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_2359	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	2359	2657981	2658862	1	D										Glycosyl transferase family 2 [PF00535.29]; Glycosyltransferase like family 2 [PF13641.9]; Glycosyl transferase family 2 [PF13704.9]	GT2_Glycos_transf_2	GT2 cellulose synthase (EC 2.4.1.12); chitin synthase (EC 2.4.1.16); dolichyl-phosphate beta-D-mannosyltransferase (EC 2.4.1.83); dolichyl-phosphate beta-glucosyltransferase (EC 2.4.1.117); N-acetylglucosaminyltransferase (EC 2.4.1.-); N-acetylgalactosaminyltransferase (EC 2.4.1.-); hyaluronan synthase (EC 2.4.1.212); chitin oligosaccharide synthase (EC 2.4.1.-); beta-1,3-glucan synthase (EC 2.4.1.34); beta-1,4-mannan synthase (EC 2.4.1.-); beta-mannosylphosphodecaprenol-mannooligosaccharide alpha-1,6-mannosyltransferase (EC 2.4.1.199); UDP-Galf: rhamnopyranosyl-N-acetylglucosaminyl-PP-decaprenol beta-1,4/1,5-galactofuranosyltransferase (EC 2.4.1.287); UDP-Galf: galactofuranosyl-galactofuranosyl-rhamnosyl-N-acetylglucosaminyl-PP-decaprenol beta-1,5/1,6-galactofuranosyltransferase (EC 2.4.1.288); dTDP-L-Rha: N-acetylglucosaminyl-PP-decaprenol alpha-1,3-L-rhamnosyltransferase (EC 2.4.1.289); alternating beta-1,3/4-N-acetylmannan synthase (2.4.1.-); UDP-GlcA: N-acetylglucosaminyl-proteoglycan beta-1,4-glucuronosyltransferase (EC 2.4.1.225); [inverting] UDP-Glc: glycocin S-beta-glucosyltransferase (EC 2.4.1.-); [inverting] UDP-Glc: protein O-beta-glucosyltransferase (EC 2.4.1.-)		GT2_Glycos_transf_2.hmm	0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_2360	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	2360	2658893	2659786	-1	D										Transposase DDE domain [PF13612.9]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_2361	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	2361	2659893	2660921	1	D										Glycosyltransferase family 9 (heptosyltransferase) [PF01075.20]	GT9	GT9 lipopolysaccharide N-acetylglucosaminyltransferase (EC 2.4.1.56); heptosyltransferase (EC 2.4.-.-).	2.4.1.56,2.4.99.-	GT9.hmm	0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_2362	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	2362	2661038	2662330	1	C	K01251	adenosylhomocysteinase [EC:3.13.2.1]								S-adenosyl-L-homocysteine hydrolase, NAD binding domain [PF00670.24]; S-adenosyl-L-homocysteine hydrolase [PF05221.20]; D-isomer specific 2-hydroxyacid dehydrogenase, NAD binding domain [PF02826.22]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_2363	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	2363	2662331	2663218	-1	D										EamA-like transporter family [PF00892.23]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_2364	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	2364	2663228	2663998	-1	C	K06206	sugar fermentation stimulation protein A								Sugar fermentation stimulation protein RE domain [PF03749.16]; SfsA N-terminal OB domain [PF17746.4]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_2365	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	2365	2664000	2664899	-1	C	K04083	molecular chaperone Hsp33								Hsp33 protein [PF01430.22]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_2366	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	2366	2665089	2666096	1	C	K01784	UDP-glucose 4-epimerase [EC:5.1.3.2]								GDP-mannose 4,6 dehydratase [PF16363.8]; NAD dependent epimerase/dehydratase family [PF01370.24]; 3-beta hydroxysteroid dehydrogenase/isomerase family [PF01073.22]; RmlD substrate binding domain [PF04321.20]; Polysaccharide biosynthesis protein [PF02719.18]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_2367	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	2367	2666108	2667490	-1	E															0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_2368	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	2368	2667441	2668091	-1	C	K03687	molecular chaperone GrpE								GrpE [PF01025.22]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_2369	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	2369	2668269	2669546	1	C	K01875	seryl-tRNA synthetase [EC:6.1.1.11]								tRNA synthetase class II core domain (G, H, P, S and T) [PF00587.28]; Seryl-tRNA synthetase N-terminal domain [PF02403.25]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_2370	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	2370	2669673	2670677	1	D										ABC transporter substrate binding protein [PF04392.15]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_2371	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	2371	2670679	2672199	-1	C	K01745	histidine ammonia-lyase [EC:4.3.1.3]								Aromatic amino acid lyase [PF00221.22]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_2372	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	2372	2672221	2674419	-1	C	K04487	cysteine desulfurase [EC:2.8.1.7]								Aminotransferase class-V [PF00266.22]; Rhodanese-like domain [PF00581.23]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_2373	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	2373	2674634	2676268	-1	C	K04077	chaperonin GroEL								TCP-1/cpn60 chaperonin family [PF00118.27]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_2374	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	2374	2676318	2676605	-1	C	K04078	chaperonin GroES								Chaperonin 10 Kd subunit [PF00166.24]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_2375	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	2375	2676853	2677353	-1	C	K01493	dCMP deaminase [EC:3.5.4.12]								Cytidine and deoxycytidylate deaminase zinc-binding region [PF00383.26]; MafB19-like deaminase [PF14437.9]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_2376	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	2376	2677350	2678966	-1	C	K01848	methylmalonyl-CoA mutase, N-terminal domain [EC:5.4.99.2]								Methylmalonyl-CoA mutase [PF01642.25]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_2377	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	2377	2678975	2679733	-1	E															0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_2378	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	2378	2679735	2680868	-1	C	K18979	epoxyqueuosine reductase [EC:1.17.99.6]								4Fe-4S double cluster binding domain [PF13484.9]; Epoxyqueuosine reductase QueG, DUF1730 [PF08331.13]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_2379	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	2379	2680870	2681781	-1	C	K13283	ferrous-iron efflux pump FieF								Cation efflux family [PF01545.24]; Dimerisation domain of Zinc Transporter [PF16916.8]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_2380	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	2380	2681787	2682479	-1	C	K03439	tRNA (guanine-N7-)-methyltransferase [EC:2.1.1.33]								Putative methyltransferase [PF02390.20]; Methyltransferase domain [PF13649.9]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_2381	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	2381	2682602	2683510	1	E															0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_2382	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	2382	2683512	2684393	-1	E															0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_2383	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	2383	2684542	2685294	1	D										ABC transporter [PF00005.30]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_2384	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	2384	2685341	2688148	1	C	K03701	excinuclease ABC subunit A								UvrA DNA-binding domain [PF17755.4]; ABC transporter [PF00005.30]					1
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_2385	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	2385	2688207	2689148	1	C	K01613	phosphatidylserine decarboxylase [EC:4.1.1.65]								Phosphatidylserine decarboxylase [PF02666.18]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_2386	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	2386	2689126	2690127	1	E															0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_2387	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	2387	2690170	2690637	1	D										Thioesterase superfamily [PF03061.25]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_2388	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	2388	2690646	2691629	-1	E															0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_2389	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	2389	2691827	2692411	-1	E															0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_2390	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	2390	2692449	2694323	-1	D			MER1290657	S08B	MER1290657 - subfamily S8B unassigned peptidases (Silvanigrella aquatica) [S08.UPB]#S08B#{peptidase unit: 84-271}~source APJ04908~	False	0.66	241.0	2.7000000000000007e-65	Subtilase family [PF00082.25]; Proprotein convertase P-domain [PF01483.23]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_2391	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	2391	2694365	2695078	-1	E															0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_2392	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	2392	2695132	2697099	-1	D			MER1291598	S08B	MER1291598 - subfamily S8B unassigned peptidases (Silvanigrella aquatica) [S08.UPB]#S08B#{peptidase unit: 94-273}~source APJ04910~	False	0.781	287.0	2.092e-80	Subtilase family [PF00082.25]; Proprotein convertase P-domain [PF01483.23]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_2393	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	2393	2697412	2698032	-1	D										5-formyltetrahydrofolate cyclo-ligase family [PF01812.23]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_2394	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	2394	2698106	2698372	1	E															0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_2395	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	2395	2698381	2699640	1	C	K07316	adenine-specific DNA-methyltransferase [EC:2.1.1.72]								DNA methylase [PF01555.21]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_2396	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	2396	2699715	2700011	1	E															0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_2397	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	2397	2700021	2700818	1	C	K03561	biopolymer transport protein ExbB													0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_2398	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	2398	2700763	2701326	1	E															0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_2399	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	2399	2701334	2701876	1	E															0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_2400	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	2400	2701882	2703639	1	E															0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_2401	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	2401	2703651	2705306	1	C	K12574	ribonuclease J [EC:3.1.-.-]								Beta-lactamase superfamily domain [PF12706.10]; Ribonuclease J C-terminal domain [PF17770.4]; Zn-dependent metallo-hydrolase RNA specificity domain [PF07521.15]; Metallo-beta-lactamase superfamily [PF00753.30]; Metallo-beta-lactamase superfamily domain [PF16661.8]; cAMP phosphodiesterases class-II [PF02112.18]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_2402	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	2402	2705303	2706337	-1	C	K00648	3-oxoacyl-[acyl-carrier-protein] synthase III [EC:2.3.1.180]								3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III C terminal [PF08541.13]; 3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III [PF08545.13]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_2403	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	2403	2706503	2708278	1	C	K03631	DNA repair protein RecN (Recombination protein N)								RecF/RecN/SMC N terminal domain [PF02463.22]; AAA domain [PF13476.9]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_2404	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	2404	2708281	2709504	-1	D										Sugar (and other) transporter [PF00083.27]; Major Facilitator Superfamily [PF07690.19]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_2405	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	2405	2709514	2710716	-1	D										AMP-binding enzyme [PF00501.31]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_2406	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	2406	2710710	2711759	-1	E															0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_2407	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	2407	2711767	2712318	-1	D										UbiA prenyltransferase family [PF01040.21]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_2408	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	2408	2712405	2712662	-1	E															0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_2409	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	2409	2712669	2713493	-1	C	K01661	naphthoate synthase [EC:4.1.3.36]	MER1072342	S49C	MER1072342 - subfamily S49C non-peptidase homologues (Geomicrobium sp. JCM 19055) [S49.UNC]#S49C#{peptidase unit: 92-231}~source A0A061NBE0~	False	0.687	190.0	1.816e-52	Enoyl-CoA hydratase/isomerase [PF00378.23]; Enoyl-CoA hydratase/isomerase [PF16113.8]					0
