# gene name           KO     thrshld  score   E-value KO definition
#-------------------- ------ ------- ------ --------- ---------------------
* Spiro2_09700        K02994   88.03  179.6   5.2e-54 small subunit ribosomal protein S8
* Spiro2_09705        K02954   26.87   70.4   2.3e-20 small subunit ribosomal protein S14
* Spiro2_09710        K02931  106.70  291.7   6.1e-88 large subunit ribosomal protein L5
* Spiro2_09715        K02874   96.43  173.0   1.1e-51 large subunit ribosomal protein L14
* Spiro2_09730        K02878   86.03  213.2   6.9e-64 large subunit ribosomal protein L16
* Spiro2_09735        K02982  102.80  319.0   3.4e-96 small subunit ribosomal protein S3
* Spiro2_09745        K02965  107.97  158.4   1.4e-47 small subunit ribosomal protein S19
* Spiro2_09750        K02886  121.33  297.8   1.8e-89 large subunit ribosomal protein L2
* Spiro2_09755        K02892   48.87   53.5   4.1e-15 large subunit ribosomal protein L23
* Spiro2_09760        K02926   88.53  175.3   2.6e-52 large subunit ribosomal protein L4
* Spiro2_09765        K02906  114.93  168.7     4e-50 large subunit ribosomal protein L3
* Spiro2_09770        K02946   61.50  131.6   4.5e-39 small subunit ribosomal protein S10
* Spiro2_09775        K03046  973.97 2130.7         0 DNA-directed RNA polymerase subunit beta' [EC:2.7.7.6]
* Spiro2_09780        K03043  591.43 1696.6         0 DNA-directed RNA polymerase subunit beta [EC:2.7.7.6]
* Spiro2_09785        K02935   24.17  156.0   1.9e-46 large subunit ribosomal protein L7/L12
* Spiro2_09790        K02864   48.40  143.4   1.3e-42 large subunit ribosomal protein L10
* Spiro2_09795        K02863   91.10  306.0   4.6e-92 large subunit ribosomal protein L1
* Spiro2_09800        K02867   64.87  227.4     5e-68 large subunit ribosomal protein L11
* Spiro2_09805        K03522  293.43  363.3  3.9e-109 electron transfer flavoprotein alpha subunit
* Spiro2_09810        K03521   73.63  245.1   1.9e-73 electron transfer flavoprotein beta subunit
* Spiro2_09820        K03703  241.43  590.6    7e-178 excinuclease ABC subunit C
* Spiro2_09825        K01174   71.57  129.0   2.7e-38 micrococcal nuclease [EC:3.1.31.1]
* Spiro2_09845        K11752  188.80  290.7     4e-87 diaminohydroxyphosphoribosylaminopyrimidine deaminase / 5-amino-6-(5-phosphoribosylamino)uracil reductase [EC:3.5.4.26 1.1.1.193]
* Spiro2_09850        K02956   24.17  123.3   2.5e-36 small subunit ribosomal protein S15
* Spiro2_09860        K00979  163.00  280.7   2.7e-84 3-deoxy-manno-octulosonate cytidylyltransferase (CMP-KDO synthetase) [EC:2.7.7.38]
* Spiro2_09870        K03500  290.07  395.0  1.2e-118 16S rRNA (cytosine967-C5)-methyltransferase [EC:2.1.1.176]
* Spiro2_09900        K00925  152.70  609.1  1.9e-183 acetate kinase [EC:2.7.2.1]
* Spiro2_09905        K07152   53.70   85.8   5.7e-25 protein SCO1
* Spiro2_09910        K02355  535.93  957.6  1.2e-288 elongation factor G
* Spiro2_09920        K01610   89.93  793.1  2.9e-239 phosphoenolpyruvate carboxykinase (ATP) [EC:4.1.1.49]
* Spiro2_09935        K07494   57.07   76.2   4.2e-22 putative transposase
* Spiro2_09955        K00425   77.03  531.0  4.2e-160 cytochrome bd ubiquinol oxidase subunit I [EC:7.1.1.7]
* Spiro2_09960        K00426   33.40  151.7   3.6e-45 cytochrome bd ubiquinol oxidase subunit II [EC:7.1.1.7]
* Spiro2_09970        K17218  239.70  279.8   7.1e-84 sulfide:quinone oxidoreductase [EC:1.8.5.4]
* Spiro2_10035        K07315  144.10  203.5   7.4e-61 phosphoserine phosphatase RsbU/P [EC:3.1.3.3]
* Spiro2_10040        K06158  532.07  624.8  3.2e-188 ATP-binding cassette, subfamily F, member 3
* Spiro2_10050        K02392  299.40  352.1    5e-106 flagellar basal-body rod protein FlgG
* Spiro2_10055        K02386   47.63   48.5   1.2e-13 flagellar basal body P-ring formation protein FlgA
* Spiro2_10065        K02394  120.07  338.6  5.4e-102 flagellar P-ring protein FlgI
* Spiro2_10070        K02395   35.50   67.0   3.8e-19 peptidoglycan hydrolase FlgJ
* Spiro2_10085        K01768  164.80  247.8   2.7e-74 adenylate cyclase [EC:4.6.1.1]
* Spiro2_10095        K07494   57.07   75.4   7.4e-22 putative transposase
* Spiro2_10120        K01697  441.00  536.1  2.3e-161 cystathionine beta-synthase [EC:4.2.1.22]
* Spiro2_10135        K03652   45.67  228.1   2.8e-68 DNA-3-methyladenine glycosylase [EC:3.2.2.21]
* Spiro2_10155        K07484   19.23   23.8   3.5e-06 transposase
* Spiro2_10180        K07484   19.23   39.0   8.3e-11 transposase
* Spiro2_10205        K07484   19.23   32.3     9e-09 transposase
* Spiro2_10220        K07497   22.97   30.0   4.4e-08 putative transposase
* Spiro2_10240        K03271  132.73  206.2     9e-62 D-sedoheptulose 7-phosphate isomerase [EC:5.3.1.28]
* Spiro2_10245        K07031  206.00  408.8  3.5e-123 D-glycero-alpha-D-manno-heptose-7-phosphate kinase [EC:2.7.1.168]
* Spiro2_10250        K03273  154.33  189.8   1.5e-56 D-glycero-D-manno-heptose 1,7-bisphosphate phosphatase [EC:3.1.3.82 3.1.3.83]
* Spiro2_10270        K00012  380.13  593.2  9.2e-179 UDPglucose 6-dehydrogenase [EC:1.1.1.22]
* Spiro2_10280        K13002  285.67  288.2   6.8e-87 glycosyltransferase [EC:2.4.1.-]
* Spiro2_10285        K02377  219.20  452.8    2e-136 GDP-L-fucose synthase [EC:1.1.1.271]
* Spiro2_10290        K01711  287.77  705.4  1.2e-212 GDPmannose 4,6-dehydratase [EC:4.2.1.47]
* Spiro2_10310        K01679  633.90  846.0    3e-255 fumarate hydratase, class II [EC:4.2.1.2]
* Spiro2_10325        K01889   97.67  291.2   2.9e-87 phenylalanyl-tRNA synthetase alpha chain [EC:6.1.1.20]
* Spiro2_10330        K01890  122.07  459.5  3.3e-138 phenylalanyl-tRNA synthetase beta chain [EC:6.1.1.20]
* Spiro2_10335        K01303  167.43  176.8     1e-52 acylaminoacyl-peptidase [EC:3.4.19.1]
* Spiro2_10345        K03100  111.43  169.5   1.1e-50 signal peptidase I [EC:3.4.21.89]
* Spiro2_10365        K07012  140.67  173.6   9.8e-52 CRISPR-associated endonuclease/helicase Cas3 [EC:3.1.-.- 5.6.2.4]
* Spiro2_10370        K15342   70.57  114.3   8.4e-34 CRISP-associated protein Cas1
* Spiro2_10380        K19130   80.13  109.5   2.7e-32 CRISPR-associated endonuclease Csy4 [EC:3.1.-.-]
* Spiro2_10385        K19129  157.70  303.8   2.3e-91 CRISPR-associated protein Csy3
* Spiro2_10390        K19128  114.93  120.3     1e-35 CRISPR-associated protein Csy2
* Spiro2_10400        K02044  110.17  194.7   5.1e-58 phosphonate transport system substrate-binding protein
* Spiro2_10415        K02073  140.43  290.1   4.3e-87 D-methionine transport system substrate-binding protein
* Spiro2_10420        K02072  120.87  303.0   2.4e-91 D-methionine transport system permease protein
* Spiro2_10425        K02071  326.77  457.7  5.9e-138 D-methionine transport system ATP-binding protein
* Spiro2_10430        K00928  394.13  442.3  4.1e-133 aspartate kinase [EC:2.7.2.4]
* Spiro2_10470        K02687  115.90  263.0     1e-78 ribosomal protein L11 methyltransferase [EC:2.1.1.-]
* Spiro2_10505        K02959   29.43  118.2     7e-35 small subunit ribosomal protein S16
* Spiro2_10510        K02968   27.77   95.9   4.2e-28 small subunit ribosomal protein S20
* Spiro2_10525        K03406   58.43  256.2     1e-76 methyl-accepting chemotaxis protein
* Spiro2_10570        K03411   48.73  110.0   2.1e-32 chemotaxis protein CheD [EC:3.5.1.44]
* Spiro2_10575        K00575  185.83  204.7   4.2e-61 chemotaxis protein methyltransferase CheR [EC:2.1.1.80]
* Spiro2_10585        K07484   19.23   23.8   3.5e-06 transposase
* Spiro2_10595        K03406   58.43  203.5   9.5e-61 methyl-accepting chemotaxis protein
* Spiro2_10600        K07491   16.23   70.2   3.6e-20 REP-associated tyrosine transposase
* Spiro2_10605        K07496   25.43  254.6   3.4e-76 putative transposase
* Spiro2_10625        K02012  199.43  232.6   1.5e-69 iron(III) transport system substrate-binding protein
* Spiro2_10650        K04096   27.57  210.2   1.1e-62 DNA processing protein
* Spiro2_10700        K04095   43.93   54.7   1.4e-15 cell filamentation protein, protein adenylyltransferase [EC:2.7.7.108]
* Spiro2_10705        K07726   44.33   51.7   1.1e-14 putative transcriptional regulator
* Spiro2_10710        K07726   44.33   71.2   1.3e-20 putative transcriptional regulator
* Spiro2_10720        K07491   16.23   50.6   3.4e-14 REP-associated tyrosine transposase
* Spiro2_10725        K07496   25.43  223.4   9.2e-67 putative transposase
* Spiro2_10795        K07726   44.33   81.8   7.2e-24 putative transcriptional regulator
* Spiro2_10825        K09803   24.33   70.2     2e-20 uncharacterized protein
* Spiro2_10830        K06193   48.60  175.8   6.8e-53 protein PhnA
* Spiro2_10835        K03651  111.97  135.1   5.3e-40 3',5'-cyclic-AMP phosphodiesterase [EC:3.1.4.53]
* Spiro2_10900        K08640   60.87  101.4   9.3e-30 zinc D-Ala-D-Ala carboxypeptidase [EC:3.4.17.14]
* Spiro2_10925        K15537  186.87  271.1   2.7e-81 alkylglycerol monooxygenase [EC:1.14.16.5]
* Spiro2_10935        K13288   60.13  206.0   1.2e-61 oligoribonuclease [EC:3.1.-.-]
* Spiro2_10940        K01873  583.53 1124.1         0 valyl-tRNA synthetase [EC:6.1.1.9]
* Spiro2_10955        K01689   73.37  671.9  1.5e-202 enolase [EC:4.2.1.11]
* Spiro2_10975        K22074   85.80  122.2   4.3e-36 NFU1 iron-sulfur cluster scaffold homolog, mitochondrial
* Spiro2_10980        K03593  111.43  458.0  8.2e-138 ATP-binding protein involved in chromosome partitioning
* Spiro2_11005        K25153  153.50  189.4   1.6e-56 gliding motility-associatede transport system auxiliary component
* Spiro2_11015        K25152  326.77  381.6  5.9e-115 gliding motility-associated transport system ATP-binding protein
* Spiro2_11015        K01990  254.07  270.7     3e-81 ABC-2 type transport system ATP-binding protein
* Spiro2_11055        K01866   90.07  375.5  8.9e-113 tyrosyl-tRNA synthetase [EC:6.1.1.1]
* Spiro2_11085        K00602  115.73  621.8  1.9e-187 phosphoribosylaminoimidazolecarboxamide formyltransferase / IMP cyclohydrolase [EC:2.1.2.3 3.5.4.10]
* Spiro2_11110        K03517  155.17  360.3  2.4e-108 quinolinate synthase [EC:2.5.1.72]
* Spiro2_11115        K00074  399.40  455.1  5.1e-137 3-hydroxybutyryl-CoA dehydrogenase [EC:1.1.1.157]
* Spiro2_11120        K03406   58.43  193.8   8.2e-58 methyl-accepting chemotaxis protein
* Spiro2_11125        K04771  315.40  335.8  8.4e-101 serine protease Do [EC:3.4.21.107]
* Spiro2_11155        K07494   57.07   75.4   7.4e-22 putative transposase
* Spiro2_11175        K03546  180.07  219.6   1.3e-65 DNA repair protein SbcC/Rad50
* Spiro2_11185        K03547   97.43  236.6   8.8e-71 DNA repair protein SbcD/Mre11
* Spiro2_11190        K05807   69.40  149.0   3.2e-44 outer membrane protein assembly factor BamD
* Spiro2_11195        K05606   72.90  147.4     7e-44 methylmalonyl-CoA/ethylmalonyl-CoA epimerase [EC:5.1.99.1]
* Spiro2_11200        K07588  270.77  328.5   1.8e-98 GTPase [EC:3.6.5.-]
* Spiro2_11210        K01961  714.10  723.1  2.7e-218 acetyl-CoA carboxylase, biotin carboxylase subunit [EC:6.4.1.2 6.3.4.14]
* Spiro2_11215        K01966  880.20  898.0  9.6e-271 propionyl-CoA carboxylase beta chain [EC:6.4.1.3 2.1.3.15]
* Spiro2_11220        K01849  180.80  215.9   1.1e-64 methylmalonyl-CoA mutase, C-terminal domain [EC:5.4.99.2]
* Spiro2_11225        K00876  136.37  214.1   4.7e-64 uridine kinase [EC:2.7.1.48]
* Spiro2_11280        K03797  130.13  377.2  1.8e-113 carboxyl-terminal processing protease [EC:3.4.21.102]
* Spiro2_11285        K00240  133.00  215.8   1.1e-64 succinate dehydrogenase iron-sulfur subunit [EC:1.3.5.1]
* Spiro2_11290        K00239  609.33  669.6  5.7e-202 succinate dehydrogenase flavoprotein subunit [EC:1.3.5.1]
* Spiro2_11295        K00241   52.73  136.6   1.6e-40 succinate dehydrogenase cytochrome b subunit
* Spiro2_11310        K03665  216.93  479.9  2.9e-144 GTPase
* Spiro2_11340        K00831  122.73  370.1  2.7e-111 phosphoserine aminotransferase [EC:2.6.1.52]
* Spiro2_11350        K01647  366.37  386.9  2.3e-116 citrate synthase [EC:2.3.3.1]
* Spiro2_11355        K07501   80.43  191.0   4.7e-57 3'-5' exonuclease
* Spiro2_11365        K00763   97.60  541.9  3.1e-163 nicotinate phosphoribosyltransferase [EC:6.3.4.21]
* Spiro2_11400        K01555  214.60  621.5  4.6e-187 fumarylacetoacetase [EC:3.7.1.2]
* Spiro2_11460        K02837  450.70  780.8  9.2e-236 peptide chain release factor 3
* Spiro2_11485        K09761   57.70  121.6   5.1e-36 16S rRNA (uracil1498-N3)-methyltransferase [EC:2.1.1.193]
* Spiro2_11490        K12251  329.57  410.3  7.8e-124 N-carbamoylputrescine amidase [EC:3.5.1.53]
* Spiro2_11495        K10536   94.63  443.7    1e-133 agmatine deiminase [EC:3.5.3.12]
* Spiro2_11510        K00868  136.57  289.3   7.2e-87 pyridoxine kinase [EC:2.7.1.35]
* Spiro2_11515        K07507   47.60  170.1     1e-50 putative Mg2+ transporter-C (MgtC) family protein
* Spiro2_11530        K01920  131.47  213.0   6.7e-64 glutathione synthase [EC:6.3.2.3]
* Spiro2_11535        K00451   47.07  208.5   2.3e-62 homogentisate 1,2-dioxygenase [EC:1.13.11.5]
* Spiro2_11540        K02563  186.43  303.2   4.6e-91 UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase [EC:2.4.1.227]
* Spiro2_11545        K06925   63.50  107.0   1.7e-31 tRNA threonylcarbamoyladenosine biosynthesis protein TsaE
* Spiro2_11555        K01881  177.33  398.1    1e-119 prolyl-tRNA synthetase [EC:6.1.1.15]
* Spiro2_11565        K21064  178.87  202.0   1.6e-60 5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase [EC:3.1.3.104]
* Spiro2_11570        K01874  217.10  501.1  8.7e-151 methionyl-tRNA synthetase [EC:6.1.1.10]
* Spiro2_11575        K03060   22.03   80.7     2e-23 DNA-directed RNA polymerase subunit omega [EC:2.7.7.6]
* Spiro2_11580        K02035  245.87  305.5   1.2e-91 peptide/nickel transport system substrate-binding protein
* Spiro2_11585        K02033  273.53  377.9  1.4e-113 peptide/nickel transport system permease protein
* Spiro2_11590        K02034  160.37  304.9   1.5e-91 peptide/nickel transport system permease protein
* Spiro2_11595        K02002  118.03  287.3   2.8e-86 glycine betaine/proline transport system substrate-binding protein
* Spiro2_11600        K02001  245.67  383.8    3e-115 glycine betaine/proline transport system permease protein
* Spiro2_11610        K00108  733.33  893.4  1.7e-269 choline dehydrogenase [EC:1.1.99.1]
* Spiro2_11625        K03406   58.43  178.7   3.1e-53 methyl-accepting chemotaxis protein
* Spiro2_11630        K00575  185.83  202.1   2.6e-60 chemotaxis protein methyltransferase CheR [EC:2.1.1.80]
* Spiro2_11635        K03406   58.43  189.5   1.6e-56 methyl-accepting chemotaxis protein
* Spiro2_11645        K07025  111.77  132.9   2.6e-39 putative hydrolase of the HAD superfamily
* Spiro2_11650        K09458  480.43  555.6  2.5e-167 3-oxoacyl-[acyl-carrier-protein] synthase II [EC:2.3.1.179]
* Spiro2_11665        K02362  118.47  190.2   9.9e-57 enterobactin synthetase component D [EC:6.3.2.14 2.7.8.-]
* Spiro2_11670        K02493  236.30  261.7   2.1e-78 release factor glutamine methyltransferase [EC:2.1.1.297]
* Spiro2_11675        K02835  364.60  533.5    1e-160 peptide chain release factor 1
* Spiro2_11680        K02909   21.53   96.1   1.9e-28 large subunit ribosomal protein L31
* Spiro2_11685        K00316  322.37  845.5  4.9e-255 spermidine dehydrogenase [EC:1.5.99.6]
* Spiro2_11690        K03177  197.80  290.0   5.6e-87 tRNA pseudouridine55 synthase [EC:5.4.99.25]
* Spiro2_11695        K02834   26.00  143.0   1.6e-42 ribosome-binding factor A
* Spiro2_11700        K02519  313.17  909.3  3.5e-274 translation initiation factor IF-2
* Spiro2_11710        K02600   38.97  466.4  1.3e-140 transcription termination/antitermination protein NusA
* Spiro2_11715        K09748   26.67   41.3   1.9e-11 ribosome maturation factor RimP
* Spiro2_11740        K00384  347.13  448.2  4.9e-135 thioredoxin reductase (NADPH) [EC:1.8.1.9]
* Spiro2_11755        K00059  270.17  351.5  8.7e-106 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]
* Spiro2_11765        K03977  242.70  584.5    3e-176 GTPase
* Spiro2_11780        K00294  473.93  507.8  5.8e-153 1-pyrroline-5-carboxylate dehydrogenase [EC:1.2.1.88]
* Spiro2_11785        K01843  354.80  430.0  1.6e-129 lysine 2,3-aminomutase [EC:5.4.3.2]
* Spiro2_11790        K09808  206.23  291.6   1.5e-87 lipoprotein-releasing system permease protein
* Spiro2_11790        K02004   43.17   64.6   7.6e-19 putative ABC transport system permease protein
* Spiro2_11795        K09810  330.40  331.4  9.2e-100 lipoprotein-releasing system ATP-binding protein [EC:7.6.2.-]
* Spiro2_11795        K02003  291.57  304.4     2e-91 putative ABC transport system ATP-binding protein
* Spiro2_11800        K07277  283.40  458.0  1.4e-137 outer membrane protein insertion porin family
* Spiro2_11805        K06142   38.40   98.9     5e-29 outer membrane protein
* Spiro2_11810        K02536  180.23  424.2  9.1e-128 UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase [EC:2.3.1.191]
* Spiro2_11815        K02372   75.03  147.5   8.5e-44 3-hydroxyacyl-[acyl-carrier-protein] dehydratase [EC:4.2.1.59]
* Spiro2_11820        K00677  203.70  367.3    9e-111 UDP-N-acetylglucosamine acyltransferase [EC:2.3.1.129]
* Spiro2_11825        K00748  123.30  368.2  1.3e-110 lipid-A-disaccharide synthase [EC:2.4.1.182]
* Spiro2_11835        K00912   86.63  130.4   1.3e-38 tetraacyldisaccharide 4'-kinase [EC:2.7.1.130]
* Spiro2_11840        K08311   69.53   81.0   1.2e-23 putative (di)nucleoside polyphosphate hydrolase [EC:3.6.1.-]
* Spiro2_11845        K03406   58.43  157.0   1.1e-46 methyl-accepting chemotaxis protein
* Spiro2_11860        K07082   41.23  317.1   2.3e-95 UPF0755 protein
* Spiro2_11870        K00767  214.83  267.5   3.1e-80 nicotinate-nucleotide pyrophosphorylase (carboxylating) [EC:2.4.2.19]
* Spiro2_11875        K03525   43.47   61.6   1.2e-17 type III pantothenate kinase [EC:2.7.1.33]
* Spiro2_11890        K00343  325.13  404.9  9.1e-122 NADH-quinone oxidoreductase subunit N [EC:7.1.1.2]
* Spiro2_11900        K00341  537.30  731.5  1.4e-220 NADH-quinone oxidoreductase subunit L [EC:7.1.1.2]
* Spiro2_11905        K00340   95.37  124.9   4.4e-37 NADH-quinone oxidoreductase subunit K [EC:7.1.1.2]
* Spiro2_11910        K00339  129.27  145.3   3.8e-43 NADH-quinone oxidoreductase subunit J [EC:7.1.1.2]
* Spiro2_11915        K00337  417.43  424.3  1.5e-127 NADH-quinone oxidoreductase subunit H [EC:7.1.1.2]
* Spiro2_11920        K00330  128.20  171.0   3.9e-51 NADH-quinone oxidoreductase subunit A [EC:7.1.1.2]
* Spiro2_11925        K01479  211.30  241.5     2e-72 formiminoglutamase [EC:3.5.3.8]
* Spiro2_11930        K13236  309.00  329.7   3.9e-99 2,4-dienoyl-CoA reductase [(3E)-enoyl-CoA-producing], mitochondrial [EC:1.3.1.124]
* Spiro2_11940        K02884   24.77  126.8   1.8e-37 large subunit ribosomal protein L19
* Spiro2_11950        K02887   42.13  181.5   2.7e-54 large subunit ribosomal protein L20
* Spiro2_11955        K02916   18.10   32.2   1.2e-08 large subunit ribosomal protein L35
* Spiro2_11985        K00088  359.27  675.2  1.4e-203 IMP dehydrogenase [EC:1.1.1.205]
* Spiro2_11990        K01951  105.10  665.5  9.9e-201 GMP synthase (glutamine-hydrolysing) [EC:6.3.5.2]
* Spiro2_11995        K06223   80.53  230.6   6.5e-69 DNA adenine methylase [EC:2.1.1.72]
* Spiro2_12015        K01251   65.00  796.5  1.9e-240 adenosylhomocysteinase [EC:3.13.2.1]
* Spiro2_12025        K06206   60.97  227.4   3.5e-68 sugar fermentation stimulation protein A
* Spiro2_12030        K04083   44.37  141.8   3.8e-42 molecular chaperone Hsp33
* Spiro2_12035        K01784  261.03  316.1   6.9e-95 UDP-glucose 4-epimerase [EC:5.1.3.2]
* Spiro2_12045        K03687   32.23  172.6   1.9e-51 molecular chaperone GrpE
* Spiro2_12050        K01875   74.50  537.0  8.4e-162 seryl-tRNA synthetase [EC:6.1.1.11]
* Spiro2_12060        K01745  425.53  628.2  2.9e-189 histidine ammonia-lyase [EC:4.3.1.3]
* Spiro2_12065        K04487  280.90  378.8    5e-114 cysteine desulfurase [EC:2.8.1.7]
* Spiro2_12070        K04077  143.97  874.2  7.5e-264 chaperonin GroEL [EC:5.6.1.7]
* Spiro2_12075        K04078   25.80  145.8     2e-43 chaperonin GroES
* Spiro2_12080        K01493   79.70  157.8   6.8e-47 dCMP deaminase [EC:3.5.4.12]
* Spiro2_12085        K01848  800.10  892.2  1.6e-269 methylmalonyl-CoA mutase, N-terminal domain [EC:5.4.99.2]
* Spiro2_12095        K18979  101.30  288.5     2e-86 epoxyqueuosine reductase [EC:1.17.99.6]
* Spiro2_12100        K13283  189.97  236.9   3.3e-71 ferrous-iron efflux pump FieF
* Spiro2_12105        K03439   64.87  142.5   3.2e-42 tRNA (guanine-N7-)-methyltransferase [EC:2.1.1.33]
* Spiro2_12125        K03701  392.60  766.7    5e-231 excinuclease ABC subunit A
* Spiro2_12130        K01613   32.77  216.0   1.1e-64 phosphatidylserine decarboxylase [EC:4.1.1.65]
* Spiro2_12180        K07316  200.43  240.2   7.7e-72 adenine-specific DNA-methyltransferase [EC:2.1.1.72]
* Spiro2_12190        K03561   54.67   57.8   2.5e-16 biopolymer transport protein ExbB
* Spiro2_12210        K12574  126.80  572.9  1.3e-172 ribonuclease J [EC:3.1.-.-]
* Spiro2_12215        K00648  219.23  352.6  4.8e-106 3-oxoacyl-[acyl-carrier-protein] synthase III [EC:2.3.1.180]
* Spiro2_12220        K03631  132.17  483.4  1.6e-145 DNA repair protein RecN (Recombination protein N)
* Spiro2_12250        K01661  396.10  472.7    1e-142 naphthoate synthase [EC:4.1.3.36]
* Spiro2_12255        K08325  457.27  545.3  8.1e-165 NADP-dependent alcohol dehydrogenase [EC:1.1.-.-]
* Spiro2_12260        K00283  521.13  715.1  8.6e-216 glycine cleavage system P protein (glycine dehydrogenase) subunit 2 [EC:1.4.4.2]
* Spiro2_12265        K00282  401.67  600.0  3.7e-181 glycine cleavage system P protein (glycine dehydrogenase) subunit 1 [EC:1.4.4.2]
* Spiro2_12270        K02437   37.80  162.6   1.7e-48 glycine cleavage system H protein
* Spiro2_12285        K01507   20.83  172.9   1.9e-51 inorganic pyrophosphatase [EC:3.6.1.1]
* Spiro2_12310        K26996   29.27   38.3   1.6e-10 immunity protein, SdpI family
* Spiro2_12320        K01902  358.70  537.9  6.2e-162 succinyl-CoA synthetase alpha subunit [EC:6.2.1.5]
* Spiro2_12325        K01903  503.70  571.0  2.8e-172 succinyl-CoA synthetase beta subunit [EC:6.2.1.5]
* Spiro2_12340        K06180  287.80  327.9   1.7e-98 23S rRNA pseudouridine1911/1915/1917 synthase [EC:5.4.99.23]
* Spiro2_12345        K15539   58.07   73.7   2.7e-21 cytoskeleton protein RodZ
* Spiro2_12350        K04562  203.43  223.8   4.4e-67 flagellar biosynthesis protein FlhG
* Spiro2_12355        K02277   48.57   72.4   8.5e-21 cytochrome c oxidase subunit IV [EC:7.1.1.9]
* Spiro2_12360        K02276  178.73  217.9   2.6e-65 cytochrome c oxidase subunit III [EC:7.1.1.9]
* Spiro2_12375        K02275  207.57  285.9   1.5e-85 cytochrome c oxidase subunit II [EC:7.1.1.9]
* Spiro2_12380        K07152   53.70   88.0   1.2e-25 protein SCO1
* Spiro2_12415        K02257  123.83  310.8   3.1e-93 heme o synthase [EC:2.5.1.141]
* Spiro2_12425        K01091  111.07  137.9   6.6e-41 phosphoglycolate phosphatase [EC:3.1.3.18]
* Spiro2_12435        K01069  160.73  207.1   6.3e-62 hydroxyacylglutathione hydrolase [EC:3.1.2.6]
* Spiro2_12440        K06959  431.17  999.3  2.3e-301 protein Tex
* Spiro2_12445        K00940  149.97  204.2   3.5e-61 nucleoside-diphosphate kinase [EC:2.7.4.6]
* Spiro2_12460        K14054  118.80  208.2     3e-62 murein peptide amidase A
* Spiro2_12465        K00773  527.70  566.2  8.2e-171 queuine tRNA-ribosyltransferase [EC:2.4.2.29]
* Spiro2_12470        K07736   48.33  188.3   3.6e-56 CarD family transcriptional regulator, regulator of rRNA transcription
* Spiro2_12475        K06885  287.07  333.6    4e-100 uncharacterized protein
* Spiro2_12480        K09773  305.63  319.4   4.2e-96 [pyruvate, water dikinase]-phosphate phosphotransferase / [pyruvate, water dikinase] kinase [EC:2.7.4.28 2.7.11.33]
* Spiro2_12485        K01883  406.87  592.5    3e-178 cysteinyl-tRNA synthetase [EC:6.1.1.16]
* Spiro2_12490        K03686  409.57  453.8  1.4e-136 molecular chaperone DnaJ
* Spiro2_12495        K02535  313.60  339.0  5.2e-102 UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase [EC:3.5.1.108]
* Spiro2_12500        K03111   22.63  182.5   1.5e-54 single-strand DNA-binding protein
* Spiro2_12510        K08641   53.93  140.5     1e-41 zinc D-Ala-D-Ala dipeptidase [EC:3.4.13.22]
* Spiro2_12525        K07494   57.07   75.4   7.4e-22 putative transposase
* Spiro2_12540        K01126  136.20  195.6   1.9e-58 glycerophosphoryl diester phosphodiesterase [EC:3.1.4.46]
* Spiro2_12545        K05813  323.57  494.2    8e-149 sn-glycerol 3-phosphate transport system substrate-binding protein
* Spiro2_12550        K05814  347.83  372.0  3.2e-112 sn-glycerol 3-phosphate transport system permease protein
* Spiro2_12555        K05815  316.43  338.3  4.7e-102 sn-glycerol 3-phosphate transport system permease protein
* Spiro2_12620        K03089  257.60  350.8  1.5e-105 RNA polymerase sigma-32 factor
* Spiro2_12635        K03657  358.03  635.9  1.7e-191 ATP-dependent DNA helicase UvrD/PcrA [EC:5.6.2.4]
* Spiro2_12640        K01783  251.80  266.6   5.5e-80 ribulose-phosphate 3-epimerase [EC:5.1.3.1]
* Spiro2_12665        K02031  426.77  521.5    6e-157 peptide/nickel transport system ATP-binding protein
* Spiro2_12665        K15583  516.93  519.7  1.2e-156 oligopeptide transport system ATP-binding protein
* Spiro2_12675        K02032  389.40  518.3  6.4e-156 peptide/nickel transport system ATP-binding protein
* Spiro2_12685        K10680  508.40  542.3  2.4e-163 N-ethylmaleimide reductase [EC:1.-.-.-]
* Spiro2_12710        K01894  311.50  345.4  4.6e-104 glutamyl-Q tRNA(Asp) synthetase [EC:6.1.1.-]
* Spiro2_12720        K02110   65.83   83.6   2.1e-24 F-type H+-transporting ATPase subunit c
* Spiro2_12725        K02108  159.87  192.1   2.1e-57 F-type H+-transporting ATPase subunit a
* Spiro2_12735        K02313  129.83  463.0  2.7e-139 chromosomal replication initiator protein
* Spiro2_12740        K07566   91.37  315.7     1e-94 L-threonylcarbamoyladenylate synthase [EC:2.7.7.87]
