locus_tag	ftype	length_bp	gene	EC_number	COG	product
BAMDCOFK_01156	CDS	1095	prfB		COG1186	Peptide chain release factor RF2
BAMDCOFK_01157	CDS	537	apt	2.4.2.7	COG0503	Adenine phosphoribosyltransferase
BAMDCOFK_01158	CDS	858	mscS		COG0668	Small-conductance mechanosensitive channel
BAMDCOFK_01159	CDS	1392	aroA	2.5.1.19	COG0128	3-phosphoshikimate 1-carboxyvinyltransferase
BAMDCOFK_01160	CDS	1098	aroC	4.2.3.5	COG0082	Chorismate synthase
BAMDCOFK_01161	CDS	1257	aroB	4.2.3.4		3-dehydroquinate synthase
BAMDCOFK_01162	CDS	555				hypothetical protein
BAMDCOFK_01163	CDS	882				hypothetical protein
BAMDCOFK_01164	CDS	783	ygiD	1.13.11.29	COG3384	4,5-DOPA dioxygenase extradiol
BAMDCOFK_01165	CDS	699	yhhW	1.13.11.24	COG1741	Quercetin 2,3-dioxygenase
BAMDCOFK_01166	CDS	501	ada		COG0350	Bifunctional transcriptional activator/DNA repair enzyme Ada
BAMDCOFK_01167	CDS	1158				hypothetical protein
BAMDCOFK_01168	CDS	3624	smc		COG1196	Chromosome partition protein Smc
BAMDCOFK_01169	CDS	1608		2.1.3.1	COG4799	Methylmalonyl-CoA carboxyltransferase 12S subunit
BAMDCOFK_01170	CDS	1905				hypothetical protein
BAMDCOFK_01171	CDS	819	paaF	4.2.1.17	COG1024	2,3-dehydroadipyl-CoA hydratase
BAMDCOFK_01172	CDS	2040	ddl_3	6.3.2.4		D-alanine--D-alanine ligase
BAMDCOFK_01173	CDS	1152	mmgC_3	1.3.99.-	COG1960	Acyl-CoA dehydrogenase
BAMDCOFK_01174	CDS	918	apaH	3.6.1.41		Bis(5'-nucleosyl)-tetraphosphatase, symmetrical
BAMDCOFK_01175	CDS	1836	menE_1	6.2.1.26		2-succinylbenzoate--CoA ligase
BAMDCOFK_01176	CDS	2067				hypothetical protein
BAMDCOFK_01177	CDS	1104				hypothetical protein
BAMDCOFK_01178	CDS	1539				hypothetical protein
BAMDCOFK_01179	CDS	393				hypothetical protein
BAMDCOFK_01180	CDS	171				hypothetical protein
BAMDCOFK_01181	CDS	1554				hypothetical protein
BAMDCOFK_01182	CDS	603				hypothetical protein
BAMDCOFK_01183	CDS	414	fadM	3.1.2.-	COG0824	Long-chain acyl-CoA thioesterase FadM
BAMDCOFK_01184	CDS	783				hypothetical protein
BAMDCOFK_01185	CDS	459				hypothetical protein
BAMDCOFK_01186	CDS	2142	prc_2	3.4.21.102	COG0793	Tail-specific protease
BAMDCOFK_01187	CDS	1029	yumC	1.18.1.2	COG0492	Ferredoxin--NADP reductase 2
BAMDCOFK_01188	CDS	2028				hypothetical protein
BAMDCOFK_01189	CDS	732				hypothetical protein
BAMDCOFK_01190	CDS	675	cynT	4.2.1.1	COG0288	Carbonic anhydrase 1
BAMDCOFK_01191	CDS	474	hspA		COG0071	Spore protein SP21
BAMDCOFK_01192	CDS	297				hypothetical protein
BAMDCOFK_01193	CDS	1197				hypothetical protein
BAMDCOFK_01194	CDS	2343	silP	7.2.2.15		Silver exporting P-type ATPase
BAMDCOFK_01195	CDS	171				hypothetical protein
BAMDCOFK_01196	CDS	1146	proS_1	6.1.1.15	COG0442	Proline--tRNA ligase
BAMDCOFK_01197	CDS	1563	yveA_6		COG0531	Aspartate-proton symporter
BAMDCOFK_01198	CDS	765	mapB	3.4.11.18	COG0024	Methionine aminopeptidase 2
BAMDCOFK_01199	CDS	384	ehpR			Phenazine antibiotic resistance protein EhpR
BAMDCOFK_01200	CDS	735				hypothetical protein
BAMDCOFK_01201	CDS	1809				hypothetical protein
BAMDCOFK_01202	CDS	1032	yfeW_2	3.4.16.4		Putative D-alanyl-D-alanine carboxypeptidase
BAMDCOFK_01203	CDS	132				hypothetical protein
BAMDCOFK_01204	CDS	1155				hypothetical protein
BAMDCOFK_01205	CDS	639				hypothetical protein
BAMDCOFK_01206	CDS	897				hypothetical protein
BAMDCOFK_01207	CDS	825				hypothetical protein
BAMDCOFK_01208	CDS	324				hypothetical protein
BAMDCOFK_01209	CDS	597				hypothetical protein
BAMDCOFK_01210	CDS	711	rep	3.6.4.12		ATP-dependent DNA helicase Rep
BAMDCOFK_01211	CDS	1251	uvrD_1	3.6.4.12	COG0210	DNA helicase II
BAMDCOFK_01212	CDS	1851				hypothetical protein
BAMDCOFK_01213	CDS	264				hypothetical protein
BAMDCOFK_01214	CDS	162				hypothetical protein
BAMDCOFK_01215	CDS	711	xerC_2		COG4974	Tyrosine recombinase XerC
BAMDCOFK_01216	CDS	663				hypothetical protein
BAMDCOFK_01217	CDS	987				hypothetical protein
BAMDCOFK_01218	CDS	357				hypothetical protein
BAMDCOFK_01219	CDS	2202	katG	1.11.1.21	COG0376	Catalase-peroxidase
BAMDCOFK_01220	CDS	1650	yveA_7		COG0531	Aspartate-proton symporter
BAMDCOFK_01221	CDS	480	bfr	1.16.3.1	COG2193	Bacterioferritin
BAMDCOFK_01222	CDS	243				hypothetical protein
BAMDCOFK_01223	CDS	1491	hemY	1.3.3.4	COG1232	Protoporphyrinogen oxidase
BAMDCOFK_01224	CDS	501				hypothetical protein
BAMDCOFK_01225	CDS	585	clpP_2	3.4.21.92	COG0740	ATP-dependent Clp protease proteolytic subunit
BAMDCOFK_01226	CDS	1341	accC_1	6.3.4.14	COG0439	Biotin carboxylase
BAMDCOFK_01227	CDS	501	accB		COG0511	Biotin carboxyl carrier protein of acetyl-CoA carboxylase
BAMDCOFK_01228	CDS	576	efp		COG0231	Elongation factor P
BAMDCOFK_01229	CDS	276				hypothetical protein
BAMDCOFK_01230	CDS	984	nrdB	1.17.4.1	COG0208	Ribonucleoside-diphosphate reductase subunit beta
BAMDCOFK_01231	CDS	2382	nrdE	1.17.4.1	COG0209	Ribonucleoside-diphosphate reductase 2 subunit alpha
BAMDCOFK_01232	CDS	1086				hypothetical protein
BAMDCOFK_01233	CDS	774				hypothetical protein
BAMDCOFK_01234	CDS	2103	fusA_1		COG0480	Elongation factor G
BAMDCOFK_01235	CDS	1206	ddlA	6.3.2.4	COG1181	D-alanine--D-alanine ligase A
BAMDCOFK_01236	CDS	1155	recA			Protein RecA
BAMDCOFK_01237	CDS	1347				hypothetical protein
BAMDCOFK_01238	CDS	645				hypothetical protein
BAMDCOFK_01239	CDS	759				hypothetical protein
BAMDCOFK_01240	CDS	741	glnQ_2			Glutamine transport ATP-binding protein GlnQ
BAMDCOFK_01241	CDS	822	glnH_2		COG0834	ABC transporter glutamine-binding protein GlnH
BAMDCOFK_01242	CDS	714	glnM		COG0765	putative glutamine ABC transporter permease protein GlnM
BAMDCOFK_01243	CDS	702	glnP		COG0765	putative glutamine ABC transporter permease protein GlnP
BAMDCOFK_01244	CDS	738	dapD	2.3.1.117	COG2171	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase
BAMDCOFK_01245	CDS	195				hypothetical protein
BAMDCOFK_01246	CDS	1206	dapL	2.6.1.83	COG0436	LL-diaminopimelate aminotransferase
BAMDCOFK_01247	CDS	492				hypothetical protein
BAMDCOFK_01248	CDS	309				hypothetical protein
BAMDCOFK_01249	CDS	2775				hypothetical protein
BAMDCOFK_01250	CDS	246				hypothetical protein
BAMDCOFK_01251	CDS	639				hypothetical protein
BAMDCOFK_01252	CDS	813				hypothetical protein
BAMDCOFK_01253	CDS	645				hypothetical protein
BAMDCOFK_01254	CDS	1266				hypothetical protein
BAMDCOFK_01255	CDS	1380				hypothetical protein
BAMDCOFK_01256	CDS	636				hypothetical protein
BAMDCOFK_01257	CDS	270				hypothetical protein
BAMDCOFK_01258	CDS	885				hypothetical protein
BAMDCOFK_01259	CDS	2790				hypothetical protein
BAMDCOFK_01260	CDS	3321	addA	3.6.4.12		ATP-dependent helicase/nuclease subunit A
BAMDCOFK_01261	CDS	972				hypothetical protein
BAMDCOFK_01262	CDS	291				hypothetical protein
BAMDCOFK_01263	CDS	627	astE_2	3.5.1.96		Succinylglutamate desuccinylase
BAMDCOFK_01264	CDS	456				hypothetical protein
BAMDCOFK_01265	CDS	456				hypothetical protein
BAMDCOFK_01266	CDS	984	fliG_2		COG1536	Flagellar motor switch protein FliG
BAMDCOFK_01267	CDS	972	yjiA	3.6.-.-	COG0523	P-loop guanosine triphosphatase YjiA
BAMDCOFK_01268	CDS	651				hypothetical protein
BAMDCOFK_01269	CDS	1743				hypothetical protein
BAMDCOFK_01270	CDS	10329				hypothetical protein
BAMDCOFK_01271	CDS	1092				hypothetical protein
BAMDCOFK_01272	CDS	1683				hypothetical protein
BAMDCOFK_01273	CDS	708	ruvA	3.6.4.12	COG0632	Holliday junction ATP-dependent DNA helicase RuvA
BAMDCOFK_01274	CDS	1011	ruvB_2	3.6.4.12	COG2255	Holliday junction ATP-dependent DNA helicase RuvB
BAMDCOFK_01275	CDS	753				hypothetical protein
BAMDCOFK_01276	CDS	537				hypothetical protein
BAMDCOFK_01277	CDS	1821	lepA	3.6.5.-	COG0481	Elongation factor 4
BAMDCOFK_01278	CDS	864	mdtM			Multidrug resistance protein MdtM
BAMDCOFK_01279	CDS	411				hypothetical protein
BAMDCOFK_01280	CDS	582				hypothetical protein
BAMDCOFK_01281	CDS	390				hypothetical protein
BAMDCOFK_01282	CDS	582				hypothetical protein
BAMDCOFK_01283	CDS	360				hypothetical protein
BAMDCOFK_01284	CDS	1008	glsA1	3.5.1.2	COG2066	Glutaminase 1
BAMDCOFK_01285	CDS	1488	mcp4_2		COG0840	Methyl-accepting chemotaxis protein 4
BAMDCOFK_01286	CDS	981				hypothetical protein
BAMDCOFK_01287	CDS	1188	cpdA_1	3.1.4.53		3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA
BAMDCOFK_01288	CDS	309				hypothetical protein
BAMDCOFK_01289	CDS	1503				hypothetical protein
BAMDCOFK_01290	CDS	963				hypothetical protein
BAMDCOFK_01291	CDS	1764	rpsA		COG0539	30S ribosomal protein S1
BAMDCOFK_01292	CDS	1035	clpP_3	3.4.21.92		ATP-dependent Clp protease proteolytic subunit
BAMDCOFK_01293	CDS	300				hypothetical protein
BAMDCOFK_01294	CDS	1005				hypothetical protein
BAMDCOFK_01295	CDS	1005	cheV_1		COG0784	Chemotaxis protein CheV
BAMDCOFK_01296	CDS	966				hypothetical protein
BAMDCOFK_01297	CDS	861	pstB_1	7.3.2.1	COG1117	Phosphate import ATP-binding protein PstB
BAMDCOFK_01298	CDS	849	pstA		COG0581	Phosphate transport system permease protein PstA
BAMDCOFK_01299	CDS	921	pstC		COG0573	Phosphate transport system permease protein PstC
BAMDCOFK_01300	CDS	1110	pstS		COG0226	Phosphate-binding protein PstS
BAMDCOFK_01301	CDS	669				hypothetical protein
BAMDCOFK_01302	CDS	993	thiY		COG0715	Formylaminopyrimidine-binding protein
BAMDCOFK_01303	CDS	753				hypothetical protein
BAMDCOFK_01304	CDS	291				hypothetical protein
BAMDCOFK_01305	CDS	1458	gltX	6.1.1.17	COG0008	Glutamate--tRNA ligase
BAMDCOFK_01306	CDS	2763				hypothetical protein
BAMDCOFK_01307	CDS	1338				hypothetical protein
BAMDCOFK_01308	CDS	1617				hypothetical protein
BAMDCOFK_01309	CDS	1167				hypothetical protein
BAMDCOFK_01310	CDS	1020	kdgK	2.7.1.45		2-dehydro-3-deoxygluconokinase
BAMDCOFK_01311	CDS	996				hypothetical protein
BAMDCOFK_01312	CDS	2340				hypothetical protein
BAMDCOFK_01313	CDS	1653				hypothetical protein
BAMDCOFK_01314	CDS	258				putative glutaredoxin
BAMDCOFK_01315	CDS	705				hypothetical protein
BAMDCOFK_01316	CDS	2088	tkt	2.2.1.1		Transketolase
BAMDCOFK_01317	CDS	546				hypothetical protein
BAMDCOFK_01318	CDS	768				hypothetical protein
BAMDCOFK_01319	CDS	1764				hypothetical protein
BAMDCOFK_01320	CDS	258				hypothetical protein
BAMDCOFK_01321	CDS	1191				hypothetical protein
BAMDCOFK_01322	CDS	765	TDO2	1.13.11.11		Tryptophan 2,3-dioxygenase
BAMDCOFK_01323	CDS	1506	glpK	2.7.1.30	COG0554	Glycerol kinase
BAMDCOFK_01324	CDS	1131	nagZ	3.2.1.52	COG1472	Beta-hexosaminidase
BAMDCOFK_01325	CDS	618				hypothetical protein
BAMDCOFK_01326	CDS	1110	dusB_2	1.3.1.-	COG0042	tRNA-dihydrouridine synthase B
BAMDCOFK_01327	CDS	1077	rlmN_1	2.1.1.192	COG0820	Dual-specificity RNA methyltransferase RlmN
BAMDCOFK_01328	CDS	1908				hypothetical protein
BAMDCOFK_01329	CDS	522				hypothetical protein
BAMDCOFK_01330	CDS	975				hypothetical protein
BAMDCOFK_01331	CDS	1323	egtA	6.3.2.2		Glutamate--cysteine ligase EgtA
BAMDCOFK_01332	CDS	426	exbD_2		COG0848	Biopolymer transport protein ExbD
BAMDCOFK_01333	CDS	636	tolQ_2		COG0811	Tol-Pal system protein TolQ
BAMDCOFK_01334	CDS	1254				hypothetical protein
BAMDCOFK_01335	CDS	1266	lolC		COG4591	Lipoprotein-releasing system transmembrane protein LolC
BAMDCOFK_01336	CDS	2595	clpB1		COG0542	Chaperone protein ClpB 1
BAMDCOFK_01337	CDS	705				hypothetical protein
BAMDCOFK_01338	CDS	504				hypothetical protein
BAMDCOFK_01339	CDS	1788		3.2.1.28	COG3387	Trehalase
BAMDCOFK_01340	CDS	708	racX	5.1.1.10	COG1794	Broad specificity amino-acid racemase RacX
BAMDCOFK_01341	CDS	2490	dxs	2.2.1.7		1-deoxy-D-xylulose-5-phosphate synthase
BAMDCOFK_01342	CDS	219				hypothetical protein
BAMDCOFK_01343	CDS	1122				hypothetical protein
BAMDCOFK_01344	CDS	1521				hypothetical protein
BAMDCOFK_01345	CDS	351				hypothetical protein
BAMDCOFK_01346	CDS	612				hypothetical protein
BAMDCOFK_01347	CDS	2964				hypothetical protein
BAMDCOFK_01348	CDS	603	yhdE	3.6.1.9	COG0424	dTTP/UTP pyrophosphatase
BAMDCOFK_01349	CDS	723			COG0325	Pyridoxal phosphate homeostasis protein
BAMDCOFK_01350	CDS	3600				hypothetical protein
BAMDCOFK_01351	CDS	1263				hypothetical protein
BAMDCOFK_01352	CDS	2127	priA	3.6.4.-		primosomal protein N'
BAMDCOFK_01353	CDS	678	pgpC	3.1.3.27	COG0560	Phosphatidylglycerophosphatase C
BAMDCOFK_01354	CDS	360				hypothetical protein
BAMDCOFK_01355	CDS	960				hypothetical protein
BAMDCOFK_01356	CDS	984				hypothetical protein
BAMDCOFK_01357	CDS	2103				hypothetical protein
BAMDCOFK_01358	CDS	222				hypothetical protein
BAMDCOFK_01359	CDS	894				hypothetical protein
BAMDCOFK_01360	CDS	1032	arnC_3	2.4.2.53		Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase
BAMDCOFK_01361	CDS	927	rssB_2			Regulator of RpoS
BAMDCOFK_01362	CDS	966	chiA			putative bifunctional chitinase/lysozyme
BAMDCOFK_01363	CDS	411				hypothetical protein
BAMDCOFK_01364	CDS	852				hypothetical protein
BAMDCOFK_01365	CDS	1452	resE	2.7.13.3		Sensor histidine kinase ResE
BAMDCOFK_01366	CDS	540	dtd	3.1.1.96	COG1490	D-aminoacyl-tRNA deacylase
BAMDCOFK_01367	CDS	1314	hemL	5.4.3.8	COG0001	Glutamate-1-semialdehyde 2,1-aminomutase
BAMDCOFK_01368	CDS	1668	pyrG	6.3.4.2		CTP synthase
BAMDCOFK_01369	CDS	1659				hypothetical protein
BAMDCOFK_01370	CDS	2130	purF_2	2.4.2.14		Amidophosphoribosyltransferase
BAMDCOFK_01371	CDS	1128				hypothetical protein
BAMDCOFK_01372	CDS	672				hypothetical protein
BAMDCOFK_01373	CDS	777				hypothetical protein
BAMDCOFK_01374	CDS	1113	rlmN_2	2.1.1.192		putative dual-specificity RNA methyltransferase RlmN
BAMDCOFK_01375	CDS	915	menH_1	4.2.99.20		2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase
BAMDCOFK_01376	CDS	942	prs	2.7.6.1	COG0462	Ribose-phosphate pyrophosphokinase
BAMDCOFK_01377	CDS	1500		3.4.17.19	COG2317	Thermostable carboxypeptidase 1
BAMDCOFK_01378	CDS	2490	clpC			ATP-dependent Clp protease ATP-binding subunit ClpC
BAMDCOFK_01379	CDS	645	lspA	3.4.23.36		Lipoprotein signal peptidase
BAMDCOFK_01380	CDS	2082				hypothetical protein
BAMDCOFK_01381	CDS	1029	cheB_3	3.1.1.61	COG2201	Protein-glutamate methylesterase/protein-glutamine glutaminase
BAMDCOFK_01382	CDS	1077	cheV_2		COG0784	Chemotaxis protein CheV
BAMDCOFK_01383	CDS	2238	cheA	2.7.13.3	COG0643	Chemotaxis protein CheA
BAMDCOFK_01384	CDS	309				hypothetical protein
BAMDCOFK_01385	CDS	570	cheW_1		COG0835	Chemotaxis protein CheW
BAMDCOFK_01386	CDS	369	cheY_4		COG0784	Chemotaxis protein CheY 
BAMDCOFK_01387	CDS	345			COG1534	RNA-binding protein
BAMDCOFK_01388	CDS	603	folE	3.5.4.16	COG0302	GTP cyclohydrolase 1
BAMDCOFK_01389	CDS	1032	dapF	5.1.1.7	COG0253	Diaminopimelate epimerase
BAMDCOFK_01390	CDS	282				hypothetical protein
BAMDCOFK_01391	CDS	825				hypothetical protein
BAMDCOFK_01392	CDS	189				hypothetical protein
BAMDCOFK_01393	CDS	732				hypothetical protein
BAMDCOFK_01394	CDS	1380				hypothetical protein
BAMDCOFK_01395	CDS	1851	fumC_1	4.2.1.2		Fumarate hydratase class II
BAMDCOFK_01396	CDS	978				hypothetical protein
BAMDCOFK_01397	CDS	1029	mreB		COG1077	Cell shape-determining protein MreB
BAMDCOFK_01398	CDS	894				hypothetical protein
BAMDCOFK_01399	CDS	795	amiD	3.5.1.28	COG3023	N-acetylmuramoyl-L-alanine amidase AmiD
BAMDCOFK_01400	CDS	528				hypothetical protein
BAMDCOFK_01401	CDS	582				IS630 family transposase ISGdi4
BAMDCOFK_01402	CDS	411				hypothetical protein
BAMDCOFK_01403	CDS	300				hypothetical protein
BAMDCOFK_01404	CDS	576				hypothetical protein
BAMDCOFK_01405	CDS	528				hypothetical protein
BAMDCOFK_01406	CDS	510				hypothetical protein
BAMDCOFK_01407	CDS	573				hypothetical protein
BAMDCOFK_01408	CDS	1149				IS200/IS605 family transposase ISPa80
BAMDCOFK_01409	CDS	249				hypothetical protein
BAMDCOFK_01410	CDS	270				hypothetical protein
BAMDCOFK_01411	CDS	426				hypothetical protein
BAMDCOFK_01412	CDS	1272				hypothetical protein
BAMDCOFK_01413	CDS	2052	yjcS	3.1.6.-	COG2015	Putative alkyl/aryl-sulfatase YjcS
BAMDCOFK_01414	CDS	1635				hypothetical protein
BAMDCOFK_01415	CDS	519				hypothetical protein
BAMDCOFK_01416	CDS	369				hypothetical protein
BAMDCOFK_01417	CDS	507				hypothetical protein
BAMDCOFK_01418	CDS	405				hypothetical protein
BAMDCOFK_01419	CDS	1305				hypothetical protein
BAMDCOFK_01420	CDS	168				hypothetical protein
BAMDCOFK_01421	CDS	1074				hypothetical protein
BAMDCOFK_01422	CDS	372				hypothetical protein
BAMDCOFK_01423	CDS	1935				hypothetical protein
BAMDCOFK_01424	CDS	570				hypothetical protein
BAMDCOFK_01425	CDS	813				hypothetical protein
BAMDCOFK_01426	CDS	294				hypothetical protein
BAMDCOFK_01427	CDS	531				hypothetical protein
BAMDCOFK_01428	CDS	435				hypothetical protein
BAMDCOFK_01429	CDS	579				hypothetical protein
BAMDCOFK_01430	CDS	756				hypothetical protein
BAMDCOFK_01431	CDS	426				hypothetical protein
BAMDCOFK_01432	CDS	315				hypothetical protein
BAMDCOFK_01433	CDS	720				hypothetical protein
BAMDCOFK_01434	CDS	594				hypothetical protein
BAMDCOFK_01435	CDS	654			COG3039	IS5 family transposase IS1301
BAMDCOFK_01436	CDS	354				hypothetical protein
BAMDCOFK_01437	CDS	312				hypothetical protein
BAMDCOFK_01438	CDS	126				hypothetical protein
BAMDCOFK_01439	CDS	582				IS630 family transposase ISGdi4
BAMDCOFK_01440	CDS	411				hypothetical protein
BAMDCOFK_01441	CDS	540				hypothetical protein
BAMDCOFK_01442	CDS	1011				hypothetical protein
BAMDCOFK_01443	CDS	585				hypothetical protein
BAMDCOFK_01444	CDS	564				hypothetical protein
BAMDCOFK_01445	CDS	510				hypothetical protein
BAMDCOFK_01446	CDS	243				hypothetical protein
BAMDCOFK_01447	CDS	1158				hypothetical protein
BAMDCOFK_01448	CDS	564				hypothetical protein
BAMDCOFK_01449	CDS	15225				hypothetical protein
BAMDCOFK_01450	CDS	1740				hypothetical protein
BAMDCOFK_01451	CDS	807				hypothetical protein
BAMDCOFK_01452	CDS	954				hypothetical protein
BAMDCOFK_01453	CDS	426				hypothetical protein
BAMDCOFK_01454	CDS	564				hypothetical protein
BAMDCOFK_01455	CDS	648	yeeF_1	3.1.-.-		Putative ribonuclease YeeF
BAMDCOFK_01456	CDS	321				hypothetical protein
BAMDCOFK_01457	CDS	645	yeeF_2	3.1.-.-		Putative ribonuclease YeeF
BAMDCOFK_01458	CDS	336				hypothetical protein
BAMDCOFK_01459	CDS	780				hypothetical protein
BAMDCOFK_01460	CDS	336				hypothetical protein
BAMDCOFK_01461	CDS	324				hypothetical protein
BAMDCOFK_01462	CDS	339				hypothetical protein
BAMDCOFK_01463	CDS	321				hypothetical protein
BAMDCOFK_01464	CDS	447				hypothetical protein
BAMDCOFK_01465	CDS	576				hypothetical protein
BAMDCOFK_01466	CDS	1158				hypothetical protein
BAMDCOFK_01467	CDS	315				hypothetical protein
BAMDCOFK_01468	CDS	1260				hypothetical protein
BAMDCOFK_01469	CDS	354				hypothetical protein
BAMDCOFK_01470	CDS	171				hypothetical protein
BAMDCOFK_01471	CDS	333				hypothetical protein
BAMDCOFK_01472	CDS	324				hypothetical protein
BAMDCOFK_01473	CDS	360				hypothetical protein
BAMDCOFK_01474	CDS	321				hypothetical protein
BAMDCOFK_01475	CDS	477				hypothetical protein
BAMDCOFK_01476	CDS	597				hypothetical protein
BAMDCOFK_01477	CDS	1161				hypothetical protein
BAMDCOFK_01478	CDS	582				IS630 family transposase ISGdi4
BAMDCOFK_01479	CDS	411				hypothetical protein
BAMDCOFK_01480	CDS	315				hypothetical protein
BAMDCOFK_01481	CDS	186				hypothetical protein
BAMDCOFK_01482	CDS	354				hypothetical protein
BAMDCOFK_01483	CDS	321				hypothetical protein
BAMDCOFK_01484	CDS	168				hypothetical protein
BAMDCOFK_01485	CDS	2712				hypothetical protein
BAMDCOFK_01486	CDS	1488	mnmE	3.6.5.-	COG0486	tRNA modification GTPase MnmE
BAMDCOFK_01487	CDS	1083				hypothetical protein
BAMDCOFK_01488	CDS	1695	yidC			Membrane protein insertase YidC
BAMDCOFK_01489	CDS	402	rnpA	3.1.26.5		Ribonuclease P protein component
BAMDCOFK_01490	CDS	1104				hypothetical protein
BAMDCOFK_01491	CDS	1086				hypothetical protein
BAMDCOFK_01492	CDS	642				hypothetical protein
BAMDCOFK_01493	CDS	213				hypothetical protein
BAMDCOFK_01494	CDS	402	dksA			RNA polymerase-binding transcription factor DksA
BAMDCOFK_01495	CDS	1479	bauC	1.2.1.-	COG1012	Putative 3-oxopropanoate dehydrogenase
BAMDCOFK_01496	CDS	1248	ribA	3.5.4.25		GTP cyclohydrolase-2
BAMDCOFK_01497	CDS	1245				hypothetical protein
BAMDCOFK_01498	CDS	336				hypothetical protein
BAMDCOFK_01499	CDS	1884	mnmG		COG0445	tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG
BAMDCOFK_01500	CDS	732				hypothetical protein
BAMDCOFK_01501	CDS	1821				hypothetical protein
BAMDCOFK_01502	CDS	1332				hypothetical protein
BAMDCOFK_01503	CDS	1389	mshA_2	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
BAMDCOFK_01504	CDS	2475	glgP	2.4.1.1	COG0058	Glycogen phosphorylase
BAMDCOFK_01505	CDS	831				hypothetical protein
BAMDCOFK_01506	CDS	657	tmk	2.7.4.9	COG0125	Thymidylate kinase
BAMDCOFK_01507	CDS	489				hypothetical protein
BAMDCOFK_01508	CDS	897				hypothetical protein
BAMDCOFK_01509	CDS	426				hypothetical protein
BAMDCOFK_01510	CDS	1827	dmdC	1.3.8.-	COG1960	3-methylmercaptopropionyl-CoA dehydrogenase
BAMDCOFK_01511	CDS	1539				hypothetical protein
BAMDCOFK_01512	CDS	1479	dapE	3.5.1.18		Succinyl-diaminopimelate desuccinylase
BAMDCOFK_01513	CDS	396				hypothetical protein
BAMDCOFK_01514	CDS	924				hypothetical protein
BAMDCOFK_01515	CDS	1053	ansA	3.5.1.1	COG0252	L-asparaginase 1
BAMDCOFK_01516	CDS	1383	hemA	1.2.1.70		Glutamyl-tRNA reductase
BAMDCOFK_01517	CDS	876				hypothetical protein
BAMDCOFK_01518	CDS	1083	hemC	2.5.1.61		Porphobilinogen deaminase
BAMDCOFK_01519	CDS	750				hypothetical protein
BAMDCOFK_01520	CDS	510				hypothetical protein
BAMDCOFK_01521	CDS	273				hypothetical protein
BAMDCOFK_01522	CDS	318	grxD		COG0278	Glutaredoxin 4
BAMDCOFK_01523	CDS	1398				hypothetical protein
BAMDCOFK_01524	CDS	1197				hypothetical protein
BAMDCOFK_01525	CDS	855	tatC		COG0805	Sec-independent protein translocase protein TatC
BAMDCOFK_01526	CDS	2814	polA	2.7.7.7	COG0258	DNA polymerase I
BAMDCOFK_01527	CDS	1479	lysS	6.1.1.6		Lysine--tRNA ligase
BAMDCOFK_01528	CDS	849				hypothetical protein
BAMDCOFK_01529	CDS	672	znuC	7.2.2.-	COG1121	High-affinity zinc uptake system ATP-binding protein ZnuC
BAMDCOFK_01530	CDS	921	mntA		COG0803	Manganese-binding lipoprotein MntA
BAMDCOFK_01531	CDS	1224				hypothetical protein
BAMDCOFK_01532	CDS	687	bceA		COG1136	Bacitracin export ATP-binding protein BceA
BAMDCOFK_01533	CDS	504				hypothetical protein
BAMDCOFK_01534	CDS	894				hypothetical protein
BAMDCOFK_01535	CDS	1920				hypothetical protein
BAMDCOFK_01536	CDS	282	ihfB		COG0776	Integration host factor subunit beta
BAMDCOFK_01537	CDS	1095	ykfB	5.1.1.20	COG4948	L-Ala-D/L-Glu epimerase
BAMDCOFK_01538	CDS	1449				hypothetical protein
BAMDCOFK_01539	CDS	2586				hypothetical protein
BAMDCOFK_01540	CDS	636				hypothetical protein
BAMDCOFK_01541	CDS	738				hypothetical protein
BAMDCOFK_01542	CDS	363				hypothetical protein
BAMDCOFK_01543	CDS	1722				hypothetical protein
BAMDCOFK_01544	CDS	441				hypothetical protein
BAMDCOFK_01545	CDS	933	rssB_3			Regulator of RpoS
BAMDCOFK_01546	CDS	693	blh	3.-.-.-	COG0491	Beta-lactamase hydrolase-like protein
BAMDCOFK_01547	CDS	378				hypothetical protein
BAMDCOFK_01548	CDS	765				hypothetical protein
BAMDCOFK_01549	CDS	681	trmR_1	2.1.1.-		tRNA 5-hydroxyuridine methyltransferase
BAMDCOFK_01550	tRNA	76				tRNA-Phe(gaa)
BAMDCOFK_01551	CDS	1041				hypothetical protein
BAMDCOFK_01552	CDS	1128				hypothetical protein
BAMDCOFK_01553	CDS	798				hypothetical protein
BAMDCOFK_01554	CDS	663				hypothetical protein
BAMDCOFK_01555	CDS	831				hypothetical protein
BAMDCOFK_01556	CDS	1920	sctC_2			Type 3 secretion system secretin
BAMDCOFK_01557	CDS	297				hypothetical protein
BAMDCOFK_01558	CDS	819				hypothetical protein
BAMDCOFK_01559	CDS	1452				hypothetical protein
BAMDCOFK_01560	CDS	672				hypothetical protein
BAMDCOFK_01561	CDS	558				hypothetical protein
